papel;cotacao;pl;pvp;psr;dy;pa;pcg;pebit;pacl;evebit;evebitda;mrgebit;mrgliq;roic;roe;liqc;liq2m;patrliq;divbpatr;c5y
ALPA3;10.56;19.3;1.68;1.627;0.1745;1.157;3.95;12.69;6.04;12.01;8.19;0.1283;0.08410000000000001;0.1184;0.08689999999999999;2.4;159462.0;4301190000.0;0.15;0.018799999999999997
ALPA4;12.87;23.52;2.04;1.984;0.1477;1.41;4.81;15.46;7.36;14.79;10.08;0.1283;0.08410000000000001;0.1184;0.08689999999999999;2.4;31403900.0;4301190000.0;0.15;0.018799999999999997
ALPK3;4.6;714.96;2.83;0.559;0.0;0.39;-8.55;2.32;-0.6;5.01;3.18;0.2415;0.0046;0.20309999999999997;0.004;0.82;597397.0;357066000.0;4.23;0.23199999999999998
ALSC3;27.75;38.57;2.2;10.717;0.0095;1.202;9.41;19.33;-4.22;17.49;14.08;0.5545;0.293;0.0703;0.056900000000000006;5.39;0.0;2593960000.0;0.0;0.023399999999999997
ALUP11;31.58;8.95;1.16;2.389;0.0406;0.331;2.82;3.69;-0.8;6.96;6.54;0.6481;0.3947;0.1005;0.1293;2.55;24097800.0;8999650000.0;1.39;-0.08810000000000001
ALUP3;11.71;9.95;1.29;2.657;0.0365;0.368;3.13;4.1;-0.89;7.38;6.93;0.6481;0.3947;0.1005;0.1293;2.55;82785.9;8999650000.0;1.39;-0.08810000000000001
ALUP4;10.09;8.58;1.11;2.29;0.042300000000000004;0.317;2.7;3.53;-0.77;6.81;6.4;0.6481;0.3947;0.1005;0.1293;2.55;116321.0;8999650000.0;1.39;-0.08810000000000001
AMAR3;1.02;32.55;1.77;0.351;0.0;0.246;-1.98;2.97;-0.43;7.53;3.86;0.11800000000000001;0.0108;0.10099999999999999;0.0545;0.7;211003.0;295428000.0;2.9;-0.1699
AMBP3;0.3;-1.95;0.46;0.069;0.0;0.03;0.11;0.44;-0.07;6.08;3.44;0.15560000000000002;-0.0256;0.09570000000000001;-0.2347;2.72;6580060.0;1093330000.0;10.1;0.5682
AMBV3;87.0;26.65;8.76;8.045;0.0;5.266;144.35;20.59;-37.8;20.41;18.39;0.3908;0.30760000000000004;0.3243;0.32880000000000004;1.18;0.0;31105700000.0;0.1;0.2173
AMBV4;86.8;26.59;8.74;8.027;0.0;5.253;144.02;20.54;-37.72;20.36;18.35;0.3908;0.30760000000000004;0.3243;0.32880000000000004;1.18;0.0;31105700000.0;0.1;0.2173
AMER3;4.96;-1.22;0.21;0.071;0.0;0.061;0.34;-0.87;-0.25;-2.04;-8.33;-0.0821;-0.058499999999999996;-0.084;-0.1716;1.63;13271100.0;4737000000.0;0.4;-0.0987
AMIL3;32.2;-73.28;7.7;1.129;0.0;2.003;-16.95;136.58;-5.43;138.61;50.13;0.0083;-0.015300000000000001;0.0222;-0.1051;0.75;0.0;1532980000.0;1.24;0.2847
AMOB3;13.6;-1.88;0.25;0.026;0.0;0.061;0.3;1.1;-0.3;6.78;4.01;0.024;-0.013999999999999999;0.0751;-0.1319;1.58;645281.0;2074400000.0;1.48;0.0
AMPI3;55.0;12.41;2.74;0.247;0.0;0.177;5.68;0.98;-0.68;1.99;1.73;0.2518;0.15109999999999998;0.2122;0.22089999999999999;1.12;0.0;240799000.0;4.48;0.1412
ANIM3;4.17;10.68;0.72;0.427;0.0128;0.167;1.38;1.43;-0.36;4.69;3.42;0.2983;0.0746;0.1437;0.067;1.92;28093700.0;2354430000.0;2.34;0.1326
APER3;46.75;-32.82;2.02;2.677;0.0;1.015;115.28;14.43;-4.33;15.41;11.57;0.1855;-0.0824;0.0833;-0.061500000000000006;1.03;0.0;472202000.0;0.4;0.42200000000000004
APTI4;3500.0;2.2;0.24;1.788;0.0;0.131;0.31;-35.19;18.33;-22.5;100.53;-0.0508;0.8120999999999999;-0.0045000000000000005;0.1094;10.57;0.0;275621000.0;0.23;0.08560000000000001
ARCE3;54.0;14.01;2.6;2.461;0.0;1.726;11.33;8.89;102.03;9.07;9.07;0.27699999999999997;0.1946;0.22039999999999998;0.1859;1.97;0.0;13495400000.0;0.17;0.48469999999999996
ARCZ3;3.66;-1.88;1.95;1.096;0.0;0.369;1.53;9.5;-0.84;28.18;28.18;0.11539999999999999;-0.5802;0.0403;-1.0398;2.86;0.0;1934210000.0;3.92;0.0075
ARCZ6;3.63;-1.86;1.94;1.087;0.0;0.366;1.52;9.42;-0.84;28.1;28.1;0.11539999999999999;-0.5802;0.0403;-1.0398;2.86;0.0;1934210000.0;3.92;0.0075
ARLA3;2.47;-1.62;-0.45;1.562;0.0;0.323;-0.22;-4.92;-0.21;-16.06;-16.06;-0.3172;-0.9655;-0.1371;0.28;0.1;0.0;-24319000.0;-1.02;-0.4746
ARLA4;3.38;-2.21;-0.62;2.137;0.0;0.442;-0.31;-6.74;-0.29;-17.87;-17.87;-0.3172;-0.9655;-0.1371;0.28;0.1;0.0;-24319000.0;-1.02;-0.4746
ARML3;4.2;26.86;1.14;0.783;0.1471;0.314;1.92;3.52;-0.75;8.06;4.98;0.22219999999999998;0.0298;0.1152;0.0426;2.21;5034480.0;1271350000.0;1.97;0.3095
ARND3;1.11;11.76;0.53;2.571;0.0;0.5;0.55;-8.23;0.55;7.19;9.84;-0.3123;0.2186;-1.5593000000000001;0.0453;16.47;8014.35;293687000.0;0.0;0.0174
ARPS3;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-14.08;-14.08;-0.0492;-0.1159;-0.0664;0.2034;0.91;0.0;-12690000.0;-1.24;-0.1753
ARPS4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-14.08;-14.08;-0.0492;-0.1159;-0.0664;0.2034;0.91;0.0;-12690000.0;-1.24;-0.1753
ARTE3;7.7;-0.04;-0.04;0.0;0.0;0.103;0.0;-0.52;0.0;-15.85;-15.85;0.0;0.0;0.0;1.0290000000000001;0.0;0.0;-33570000.0;0.0;-0.6435
ARTE4;6.81;-0.03;-0.03;0.0;0.0;0.091;0.0;-0.46;0.0;-15.79;-15.79;0.0;0.0;0.0;1.0290000000000001;0.0;0.0;-33570000.0;0.0;-0.6435
ARTR3;10.01;-3.19;1.99;1.034;0.0;0.274;-12.17;6.59;-0.38;20.96;6.71;0.15689999999999998;-0.3237;0.0479;-0.624;0.86;0.0;2887710000.0;5.24;0.1072
ASAI3;7.04;10.38;1.67;0.124;0.0169;0.211;5.79;1.67;-0.41;3.75;2.87;0.07440000000000001;0.012;0.1941;0.1605;1.12;138500000.0;5720000000.0;2.85;0.2934
ASSM3;7.12;0.33;-0.17;-9.754;0.0;0.155;-0.23;0.47;-0.09;1.95;1.95;-20.843899999999998;-29.156100000000002;0.3538;-0.5073;0.21;0.0;-9943000.0;-0.56;-0.08789999999999999
ASSM4;6.1;0.29;-0.15;-8.357;0.0;0.133;-0.2;0.4;-0.08;1.88;1.88;-20.843899999999998;-29.156100000000002;0.3538;-0.5073;0.21;0.0;-9943000.0;-0.56;-0.08789999999999999
ASTA4;25.83;-30.79;1.0;0.652;0.0;0.446;2.57;19.9;-3.3;33.2;33.2;0.032799999999999996;-0.0212;0.0252;-0.0325;1.71;0.0;515672000.0;0.85;-0.0473
ATED3;2.07;-10.0;2.43;1.737;0.0;1.984;4.65;21.81;5.03;20.77;13.45;0.0796;-0.1321;0.10710000000000001;-0.2433;6.99;20814.7;20250000.0;0.05;0.0
AUAU3;3.8;0.0;3.03;0.0;0.0;1.205;10.24;0.0;-6.47;0.0;0.0;0.0;0.0;0.0;0.0;1.39;2076430.0;1080240000.0;0.0;0.0
AURA33;93.99;-80.07;11.9;4.663;0.0088;2.686;19.81;9.76;-6.42;9.95;9.95;0.478;-0.0582;0.4133;-0.1487;1.62;52241300.0;1714890000.0;1.33;0.21309999999999998
AURE3;11.62;-8.92;0.99;0.973;0.0049;0.25;5.99;7.82;-0.46;20.58;11.26;0.1245;-0.1002;0.0368;-0.1115;1.3;54469300.0;12275500000.0;2.04;0.3387
AUTM3;19.7;20.0;1.9;0.709;0.0;0.547;4.08;6.78;-2.42;8.22;8.99;0.1047;0.0431;0.1193;0.095;1.48;0.0;1304250000.0;0.97;0.2821
AVIL3;0.93;12.97;4.16;2.338;0.0;2.227;3.89;10.0;9.02;9.4;9.4;0.23379999999999998;0.1801;0.40990000000000004;0.32030000000000003;5.14;0.0;1106590000.0;0.52;0.0174
AVLL3;0.94;-1.54;-0.97;0.282;0.0;0.137;-3.47;1.13;-0.19;4.47;4.43;0.2493;-0.1502;0.1487;0.6283;0.91;24559.3;-189334000.0;-3.85;0.2901
AXIA3;51.35;-24.9;1.37;3.511;0.07;0.562;5.97;23.23;-1.43;29.84;17.68;0.15109999999999998;-0.1411;0.0274;-0.055;1.92;655934000.0;109290000000.0;0.65;0.07629999999999999
AXIA6;54.63;-26.49;1.46;3.735;0.059800000000000006;0.598;6.35;24.71;-1.52;31.32;18.56;0.15109999999999998;-0.1411;0.0274;-0.055;1.92;115424000.0;109290000000.0;0.65;0.07629999999999999
AZEV3;0.34;-0.28;1.26;0.752;0.0;0.193;-1.73;-2.25;-0.3;-2.9;1.98;-0.3336;-2.6937;-0.0969;-4.532900000000001;0.65;373390.0;159350000.0;0.41;0.3549
AZEV4;0.22;-0.18;0.82;0.486;0.0;0.125;-1.12;-1.46;-0.19;-2.1;1.44;-0.3336;-2.6937;-0.0969;-4.532900000000001;0.65;3018600.0;159350000.0;0.41;0.3549
AZTE3;0.43;-59.37;0.58;47.434;0.0;0.553;-20.67;-28.31;-14.83;-28.65;-31.46;-1.6757;-0.799;-0.019799999999999998;-0.0097;0.14;943838.0;252553000.0;0.01;0.0
AZUL4;0.81;37.93;-21.71;27.517;0.0;21.534;-30.46;151.34;-12.46;160.4;90.87;0.1818;0.7254999999999999;0.1757;-0.5722999999999999;0.27;15329700.0;-27406700000.0;-1.36;0.24719999999999998
AZZA3;23.69;6.49;0.59;0.409;0.1045;0.315;1.51;4.96;-16.63;7.32;4.28;0.0825;0.0629;0.0746;0.0902;1.9;88136800.0;8347710000.0;0.37;0.4357
B3SA3;14.46;15.68;3.85;7.027;0.0412;1.609;7.15;11.91;-7.37;11.73;11.05;0.5899;0.4482;0.20420000000000002;0.2455;2.62;576607000.0;19783500000.0;0.74;0.0141
BAHI11;2.0;-0.97;0.8;0.155;0.0;0.119;-0.52;24.25;-0.18;39.18;5.39;0.0064;-0.16190000000000002;0.0051;-0.8207;0.33;0.0;66699000.0;0.72;0.07519999999999999
BAHI4;86.0;-41.84;34.34;6.666;0.0;5.101;-22.3;1042.55;-7.61;1057.48;145.62;0.0064;-0.16190000000000002;0.0051;-0.8207;0.33;0.0;66699000.0;0.72;0.07519999999999999
BAHI5;65.0;-31.62;25.95;5.038;0.0;3.856;-16.85;787.97;-5.75;802.91;110.57;0.0064;-0.16190000000000002;0.0051;-0.8207;0.33;0.0;66699000.0;0.72;0.07519999999999999
BALM3;28.0;11.09;1.5;1.252;0.16570000000000001;0.912;1.8;7.43;2.56;5.5;4.81;0.1686;0.1121;0.1906;0.1352;3.12;1164.68;182965000.0;0.12;0.1097
BALM4;18.84;7.46;1.01;0.842;0.2463;0.614;1.21;5.0;1.72;3.07;2.69;0.1686;0.1121;0.1906;0.1352;3.12;94605.9;182965000.0;0.12;0.1097
BAUH4;93.3;17.43;3.44;1.785;0.0132;2.38;8.75;22.49;9.28;19.48;15.67;0.0794;0.1025;0.2189;0.1975;1.93;17944.8;141596000.0;0.0;0.11470000000000001
BAZA3;77.56;4.05;0.6;0.0;0.10289999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1474;0.0;363218.0;7283050000.0;0.0;0.1588
BBAS3;21.86;5.8;0.7;0.0;0.053899999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1213;0.0;519659000.0;178142000000.0;0.0;0.0113
BBDC3;15.88;7.31;0.99;0.0;0.08220000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13570000000000002;0.0;91555800.0;169590000000.0;0.0;-0.060599999999999994
BBDC4;18.54;8.54;1.16;0.0;0.0775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13570000000000002;0.0;564038000.0;169590000000.0;0.0;-0.060599999999999994
BBSE3;34.99;7.78;5.44;0.0;0.1216;3.423;0.0;7.07;0.0;0.0;0.0;0.0;0.0;0.0;0.6993;0.0;195733000.0;12869800000.0;0.0;0.0
BBTG11;15.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BBTG12;3.15;265986.0;26598.6;0.0;0.0;324.769;0.0;-131.09;0.0;-131.09;-131.09;0.0;0.0;0.0;0.1;0.0;0.0;10000.0;0.0;0.0
BBTG13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;10000.0;0.0;0.0
BCAL6;0.28;-1.7;-0.07;1.946;0.0;13.03;-0.09;38.77;-0.07;452.65;452.65;0.050199999999999995;-1.1449;0.3897;0.040999999999999995;0.01;0.0;-290863000.0;-0.74;0.3774
BDLL3;7.7;0.82;-0.06;0.209;0.0;0.028;-0.08;-1.23;-0.03;-18.64;-22.95;-0.16940000000000002;0.2556;-0.0245;-0.0683;0.55;58.9;-220537000.0;-0.82;0.33020000000000005
BDLL4;6.2;0.66;-0.04;0.168;0.0;0.023;-0.06;-0.99;-0.02;-18.4;-22.66;-0.16940000000000002;0.2556;-0.0245;-0.0683;0.55;778.8;-220537000.0;-0.82;0.33020000000000005
BECE3;9.1;-3.42;8.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.552;0.0;0.0;96496000.0;0.0;0.1281
BECE4;8.75;-3.29;8.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.552;0.0;0.0;96496000.0;0.0;0.1281
BEEF3;5.3;-6.5;4.1;0.103;0.031;0.117;0.72;1.49;-0.35;4.81;3.81;0.0692;-0.015700000000000002;0.1704;-0.6309;1.35;76595100.0;1291830000.0;20.66;0.14529999999999998
BEES3;8.2;6.51;1.17;0.0;0.084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1791;0.0;113206.0;2442350000.0;0.0;0.1177
BEES4;8.25;6.55;1.17;0.0;0.08349999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1791;0.0;44407.2;2442350000.0;0.0;0.1177
BELG3;1375.5;0.36;0.07;0.063;0.0;0.044;0.29;0.23;2.6;0.41;0.41;0.27699999999999997;0.1946;0.22039999999999998;0.1859;1.97;0.0;13495400000.0;0.17;0.48469999999999996
BELG4;1370.0;0.36;0.07;0.062;0.0;0.044;0.29;0.23;2.59;0.4;0.4;0.27699999999999997;0.1946;0.22039999999999998;0.1859;1.97;0.0;13495400000.0;0.17;0.48469999999999996
BEMA3;10.8;15.32;1.22;1.293;0.0;0.808;3.18;14.34;11.45;14.43;8.11;0.0901;0.08439999999999999;0.0696;0.0795;2.66;0.0;457342000.0;0.19;0.1058
BERG3;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-10.49;-10.49;-0.086;-0.326;-0.0558;-1.0271;0.46;0.0;9538000.0;2.86;-0.08
BESP3;330.0;10.38;2.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2377;0.0;0.0;5183100000.0;0.0;0.0183
BESP4;344.0;10.82;2.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2377;0.0;0.0;5183100000.0;0.0;0.0183
BFIT3;0.98;18.49;2.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1115;0.0;0.0;1849420000.0;0.0;0.3567
BFIT4;0.93;17.55;1.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1115;0.0;0.0;1849420000.0;0.0;0.3567
BGIP3;41.32;6.72;1.03;0.0;0.09699999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1525;0.0;7236.5;868624000.0;0.0;0.0537
BGIP4;34.6;5.63;0.86;0.0;0.1275;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1525;0.0;50371.5;868624000.0;0.0;0.0537
BHGR3;19.1;-272.16;1.1;3.613;0.0;0.855;-194.45;23.7;-8.56;25.95;14.2;0.1524;-0.0131;0.0393;-0.004;0.96;0.0;1077600000.0;0.2;0.20670000000000002
BHIA3;2.93;-1.43;1.04;0.095;0.0;0.08;-0.47;1.32;-0.16;4.73;3.17;0.0722;-0.0666;0.0833;-0.7254999999999999;0.71;18861700.0;2634000000.0;3.54;-0.0351
BICB3;8.0;-2.35;2.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.91;0.0;0.0;944626000.0;0.0;-0.3119
BICB4;8.25;-2.43;2.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.91;0.0;0.0;944626000.0;0.0;-0.3119
BIDI11;10.4;229.93;1.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004699999999999999;0.0;0.0;8348550000.0;0.0;0.37
BIDI3;3.4;225.51;1.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004699999999999999;0.0;0.0;8348550000.0;0.0;0.37
BIDI4;3.41;226.17;1.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004699999999999999;0.0;0.0;8348550000.0;0.0;0.37
BIED3;4.45;-2.16;1.78;0.345;0.0;0.264;-1.15;53.95;-0.39;68.88;9.48;0.0064;-0.16190000000000002;0.0051;-0.8207;0.33;15383.0;66699000.0;0.72;0.07519999999999999
BIOM3;7.06;-15.67;3.4;6.778;0.0;1.992;6.31;-19.0;16.73;-19.53;-17.85;-0.3568;-0.43270000000000003;-0.1421;-0.21710000000000002;2.45;869392.0;284098000.0;0.36;0.0857
BIOM4;8.68;-19.26;4.18;8.334;0.0;2.449;7.76;-23.36;20.56;-23.89;-21.84;-0.3568;-0.43270000000000003;-0.1421;-0.21710000000000002;2.45;0.0;284098000.0;0.36;0.0857
BISA3;1.58;-1.77;1.18;1.692;0.0;0.321;0.86;-4.02;-7.64;-6.21;-9.28;-0.4205;-0.9636;-0.085;-0.6694;2.22;0.0;1788370000.0;0.77;-0.24230000000000002
BLAU3;10.41;7.67;1.03;1.372;0.0757;0.67;1.88;6.53;3.56;7.16;6.11;0.2102;0.1789;0.1222;0.13470000000000001;2.9;4427080.0;2350160000.0;0.23;0.0754
BLUT3;5.14;-5.63;0.46;0.0;0.0;0.138;-0.76;-42.93;-0.2;-53.97;-53.97;0.0;0.0;-0.0033;-0.0824;0.0;3091.81;56569000.0;0.12;0.0
BLUT4;1.52;-1.66;0.14;0.0;0.0;0.041;-0.22;-12.69;-0.06;-23.74;-23.74;0.0;0.0;-0.0033;-0.0824;0.0;10453.2;56569000.0;0.12;0.0
BMEB3;49.0;5.45;2.28;0.0;0.034300000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4192;0.0;77791.2;2248540000.0;0.0;0.21780000000000002
BMEB4;59.0;6.56;2.75;0.0;0.031400000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4192;0.0;2315040.0;2248540000.0;0.0;0.21780000000000002
BMEF3;11.0;0.0;4.16;0.0;0.0;3.482;10.24;0.0;11.3;0.0;0.0;0.0;0.0;0.0;0.0;3.7;0.0;2674780000.0;0.0;0.0
BMGB11;33.6;10.32;1.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1268;0.0;0.0;3846090000.0;0.0;0.0091
BMGB4;4.89;6.01;0.76;0.0;0.10890000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1268;0.0;3827570.0;3846090000.0;0.0;0.0091
BMIN3;22.99;13.78;0.77;0.0;0.0154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0557;0.0;0.0;144393000.0;0.0;-0.019799999999999998
BMIN4;18.41;11.04;0.62;0.0;0.076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0557;0.0;5278.77;144393000.0;0.0;-0.019799999999999998
BMKS3;375.0;2.85;0.69;12.051;0.4083;0.633;0.8;-8.98;0.88;0.68;0.68;-1.3419999999999999;4.221;-0.2311;0.2432;58.78;93261.9;245638000.0;0.01;-0.0731
